index,timestamp_ns,x,y,z,qx,qy,qz,qw,loaded_from_map,cloud_file
0,1782465110537641286,-0.0367086,-0.0168509,-0.0367038,-0.00222135,0.0053149,-0.00220738,0.999981,0,keyframes/keyframe_000000.pcd
1,1782465176437736511,-0.472676,0.19712,0.0911437,0.00526854,0.0259127,-0.00331837,0.999645,0,keyframes/keyframe_000001.pcd
2,1782465181037796974,-0.154827,0.510969,0.355385,-0.00606627,0.0200552,-0.00352396,0.999774,0,keyframes/keyframe_000002.pcd
3,1782465183437647819,-0.0575156,0.0293497,0.184387,-0.00920082,0.025013,-0.00622354,0.999625,0,keyframes/keyframe_000003.pcd
4,1782465188237663269,0.309148,-0.288252,0.0561201,0.00137757,0.0298778,-0.00565287,0.999537,0,keyframes/keyframe_000004.pcd
5,1782465191637944936,0.464499,-0.780966,0.15199,-0.00731983,0.00745288,-0.00142243,0.999944,0,keyframes/keyframe_000005.pcd
6,1782465193637826919,0.3598,-1.00763,0.601066,-0.0147815,-0.00980018,-0.00409753,0.999834,0,keyframes/keyframe_000006.pcd
7,1782465198737684011,-0.055473,-1.35073,0.487397,-0.00177373,0.0132099,-0.00872145,0.999873,0,keyframes/keyframe_000007.pcd
8,1782465199737805843,-0.441379,-1.66341,0.643846,-0.018274,0.0396973,-0.00279031,0.999041,0,keyframes/keyframe_000008.pcd
9,1782465201737693309,-0.683646,-2.08675,0.530555,0.0343978,0.0452297,-0.00447877,0.998374,0,keyframes/keyframe_000009.pcd
10,1782465202537734746,-0.695928,-2.59298,0.285121,-0.012305,0.0163965,0.00335865,0.999784,0,keyframes/keyframe_000010.pcd
11,1782465203837786197,-0.66111,-3.08862,0.400256,-0.0191638,0.0258609,-0.00796136,0.99945,0,keyframes/keyframe_000011.pcd
12,1782465205437780857,-0.793228,-3.08417,0.885885,0.00307456,0.0440086,-0.00599615,0.999008,0,keyframes/keyframe_000012.pcd
13,1782465207337730884,-0.520006,-2.77605,0.510493,-0.00800861,0.010085,-0.0105571,0.999861,0,keyframes/keyframe_000013.pcd
14,1782465212437555551,-0.73924,-3.16711,0.741634,-0.0186045,0.0254151,-0.00585436,0.999487,0,keyframes/keyframe_000014.pcd
15,1782465218238558769,-0.960888,-3.61822,0.774564,-0.0189149,0.051525,-0.00598122,0.998475,0,keyframes/keyframe_000015.pcd
16,1782465220138451814,-0.884507,-3.13236,0.673839,-0.00301868,0.0432817,-0.0127064,0.998978,0,keyframes/keyframe_000016.pcd
17,1782465221238478660,-0.738928,-2.7488,0.357156,0.00554749,0.0217218,-0.0211477,0.999525,0,keyframes/keyframe_000017.pcd
18,1782465231938356637,-0.740194,-3.05223,0.78022,0.0274933,0.0320202,-0.0149627,0.998997,0,keyframes/keyframe_000018.pcd
19,1782465232738332986,-0.634909,-3.38061,0.799797,-0.0614516,0.025597,-0.00879674,0.997743,0,keyframes/keyframe_000019.pcd
20,1782465233338243722,-0.492524,-3.39541,0.716118,0.0302068,0.0322161,-0.00314854,0.999019,0,keyframes/keyframe_000020.pcd
21,1782465236538198947,-0.14078,-3.6863,0.764361,-0.0671809,0.0208762,-0.0129168,0.997439,0,keyframes/keyframe_000021.pcd
22,1782465238338292598,0.072091,-3.24034,0.513995,-0.0161414,0.034804,-0.0265176,0.998912,0,keyframes/keyframe_000022.pcd
23,1782465238938130617,0.23911,-3.0496,0.443034,0.0705975,0.00847265,-0.0281159,0.997073,0,keyframes/keyframe_000023.pcd
24,1782465239438143491,0.336634,-3.20724,0.418381,-0.0194417,-0.0105009,-0.0257854,0.999423,0,keyframes/keyframe_000024.pcd
25,1782465241038109302,-0.139433,-3.06807,0.545027,0.00947413,-0.0043599,-0.0101958,0.999894,0,keyframes/keyframe_000025.pcd
26,1782465241938134193,-0.632694,-2.95055,0.574519,-0.035117,0.0579637,-0.0123674,0.997624,0,keyframes/keyframe_000026.pcd
27,1782465242738196134,-0.687894,-2.69664,0.54657,0.0415806,0.000914437,-0.0118484,0.999064,0,keyframes/keyframe_000027.pcd
28,1782465244138281345,-0.925407,-2.97024,0.173155,0.00416064,0.0130043,-0.00428301,0.999898,0,keyframes/keyframe_000028.pcd
29,1782465245638246774,-1.07531,-3.33617,-0.196305,0.0548177,0.0150587,0.00285976,0.998379,0,keyframes/keyframe_000029.pcd
